data,hora_inicio,hora_fim,servico_amostra,sentido_amostra,id_veiculo_amostra,flag_reprocessamento,protocolo,datetime_partida_amostra,datetime_chegada_amostra,status,data_apurado,id_veiculo_apurado,servico_apurado,sentido_apurado,datetime_partida_apurado,datetime_chegada_apurado
2022-10-10,09:12:00,10:01:00,906,,31039,1,SMTR202211005997,2022-10-10 09:12:00,2022-10-10 10:01:00,,,,,,,
2022-10-10,22:03:00,23:20:00,906,,31039,1,SMTR202211005996,2022-10-10 22:03:00,2022-10-10 23:20:00,,,,,,,
2022-10-10,20:42:00,21:55:00,906,,31039,1,SMTR202211005995,2022-10-10 20:42:00,2022-10-10 21:55:00,,,,,,,
2022-10-10,06:14:00,07:52:00,SP483,,31158,1,SMTR202211005993,2022-10-10 06:14:00,2022-10-10 07:52:00,,,,,,,
2022-10-10,05:49:00,07:45:00,201,,48018,1,SMTR202211005812,2022-10-10 05:49:00,2022-10-10 07:45:00,,,,,,,
2022-10-10,06:41:00,07:59:00,483,,31033,1,SMTR202211005811,2022-10-10 06:41:00,2022-10-10 07:59:00,,,,,,,
2022-10-10,05:00:00,06:00:00,SP404,,31127,1,SMTR202211005810,2022-10-10 05:00:00,2022-10-10 06:00:00,,,,,,,
2022-10-10,10:28:00,11:58:00,201,,48018,1,SMTR202211005808,2022-10-10 10:28:00,2022-10-10 11:58:00,,,,,,,
2022-10-10,23:18:00,01:30:00,906,,31034,1,SMTR202211005795,2022-10-10 23:18:00,2022-10-10 01:30:00,,,,,,,
2022-10-10,08:33:00,10:58:00,906,,31034,1,SMTR202211005794,2022-10-10 08:33:00,2022-10-10 10:58:00,,,,,,,
2022-10-10,06:37:00,08:47:00,498,,31113,1,SMTR202211005792,2022-10-10 06:37:00,2022-10-10 08:47:00,,,,,,,
2022-10-10,04:32:00,05:39:00,498,,31113,1,SMTR202211005791,2022-10-10 04:32:00,2022-10-10 05:39:00,,,,,,,
2022-10-10,18:01:00,19:20:00,498,,31080,1,SMTR202211005790,2022-10-10 18:01:00,2022-10-10 19:20:00,,,,,,,
2022-10-10,05:10:00,06:21:00,498,,31080,1,SMTR202211005789,2022-10-10 05:10:00,2022-10-10 06:21:00,,,,,,,
2022-10-10,02:25:00,03:26:00,498,,31030,1,SMTR202211005788,2022-10-10 02:25:00,2022-10-10 03:26:00,,,,,,,
2022-10-10,23:32:00,00:26:00,498,,31027,1,SMTR202211005787,2022-10-10 23:32:00,2022-10-10 00:26:00,,,,,,,
2022-10-10,23:37:00,00:18:00,497,,58163,1,SMTR202211005785,2022-10-10 23:37:00,2022-10-10 00:18:00,,,,,,,
2022-10-10,22:01:00,23:31:00,497,,58162,1,SMTR202211005784,2022-10-10 22:01:00,2022-10-10 23:31:00,,,,,,,
2022-10-10,06:30:00,07:42:00,497,,58157,1,SMTR202211005783,2022-10-10 06:30:00,2022-10-10 07:42:00,,,,,,,
2022-10-10,08:22:00,09:14:00,497,,58155,1,SMTR202211005782,2022-10-10 08:22:00,2022-10-10 09:14:00,,,,,,,
2022-10-10,16:00:00,17:04:00,497,,58098,1,SMTR202211005780,2022-10-10 16:00:00,2022-10-10 17:04:00,,,,,,,
2022-10-10,06:30:00,08:02:00,497,,58089,1,SMTR202211005778,2022-10-10 06:30:00,2022-10-10 08:02:00,,,,,,,
2022-10-10,11:07:00,12:22:00,497,,58053,1,SMTR202211005777,2022-10-10 11:07:00,2022-10-10 12:22:00,,,,,,,
2022-10-10,05:16:00,06:20:00,497,,31094,1,SMTR202211005774,2022-10-10 05:16:00,2022-10-10 06:20:00,,,,,,,
2022-10-10,09:16:00,10:15:00,497,,31094,1,SMTR202211005773,2022-10-10 09:16:00,2022-10-10 10:15:00,,,,,,,
2022-10-10,21:01:00,22:06:00,497,,31080,1,SMTR202211005771,2022-10-10 21:01:00,2022-10-10 22:06:00,,,,,,,
2022-10-10,20:12:00,21:00:00,497,,31027,1,SMTR202211005770,2022-10-10 20:12:00,2022-10-10 21:00:00,,,,,,,
2022-10-10,11:11:00,12:33:00,497,,31027,1,SMTR202211005769,2022-10-10 11:11:00,2022-10-10 12:33:00,,,,,,,
2022-10-10,04:36:00,05:21:00,497,,31027,1,SMTR202211005768,2022-10-10 04:36:00,2022-10-10 05:21:00,,,,,,,
2022-10-10,17:55:00,19:20:00,497,,31027,1,SMTR202211005763,2022-10-10 17:55:00,2022-10-10 19:20:00,,,,,,,
2022-10-10,03:30:00,04:13:00,497,,31023,1,SMTR202211005761,2022-10-10 03:30:00,2022-10-10 04:13:00,,,,,,,
2022-10-10,17:17:00,19:10:00,497,,31023,1,SMTR202211005760,2022-10-10 17:17:00,2022-10-10 19:10:00,,,,,,,
2022-10-10,06:39:00,07:54:00,497,,31023,1,SMTR202211005759,2022-10-10 06:39:00,2022-10-10 07:54:00,,,,,,,
2022-10-10,15:15:00,16:44:00,497,,31023,1,SMTR202211005758,2022-10-10 15:15:00,2022-10-10 16:44:00,,,,,,,
2022-10-10,13:34:00,15:10:00,497,,31023,1,SMTR202211005757,2022-10-10 13:34:00,2022-10-10 15:10:00,,,,,,,
2022-10-10,10:23:00,12:15:00,497,,31023,1,SMTR202211005756,2022-10-10 10:23:00,2022-10-10 12:15:00,,,,,,,
2022-10-10,08:27:00,09:51:00,497,,31023,1,SMTR202211005755,2022-10-10 08:27:00,2022-10-10 09:51:00,,,,,,,
2022-10-10,15:30:00,16:43:00,497,,31015,1,SMTR202211005753,2022-10-10 15:30:00,2022-10-10 16:43:00,,,,,,,
2022-10-10,23:33:00,23:52:00,486,,31147,1,SMTR202211005752,2022-10-10 23:33:00,2022-10-10 23:52:00,,,,,,,
2022-10-10,23:07:00,23:27:00,486,,31139,1,SMTR202211005751,2022-10-10 23:07:00,2022-10-10 23:27:00,,,,,,,
2022-10-10,22:34:00,22:55:00,486,,31139,1,SMTR202211005750,2022-10-10 22:34:00,2022-10-10 22:55:00,,,,,,,
